tweet_id,text,trust_expressed,anger_expressed,sadness_expressed,surprise_expressed,fear_expressed,disgust_expressed,joy_expressed,anticipation_expressed,trust_evoked,anger_evoked,sadness_evoked,surprise_evoked,fear_evoked,disgust_evoked,joy_evoked,anticipation_evoked
'1475171159264137221,"#NisamPrijavila je tek vrh brega. Vreme je da taj breg vidimo i da se u njemu i ogledamo. Nadam se i promenimo, pa da sutra bude bolje nego juče",0.041,0.097,0.040,0.055,0.113,0.004,0.125,0.012,0.053,0.058,0.040,0.001,0.060,0.020,0.040,0.045
'1475171075843575814,Imala sam i ja #nisamprijavila iskustvo jedno…ali sam bila u situaciji da mogu da mu se useru u zivot i da ga mama zaliva kao biljku mesecima…i bilo mi je zao…samo sam jednostavno zaboravila…a inace mi je bio najbolji drug…da…preko deset godina… nikad ga vise nisam videla,0.046,0.042,0.018,0.066,0.097,0.006,0.137,0.057,0.068,0.031,0.029,0.078,0.068,0.077,0.006,0.029
'1475171003697348617,Hrabre zene🤍🤍🤍 #NisamPrijavila https://t.co/i7nKjMsNMo,0.107,0.147,0.024,0.013,0.042,0.011,0.094,0.015,0.037,0.024,0.058,0.009,0.042,0.001,0.071,0.004
'1475170916313227271,"Bože koliko sam besna dok čitam #NisamPrijavila rukama svojim bih poubijala sve te nasilnike bolesne, to nisu normalni ljudi niti normalni seksualni nagoni, to je želja za dominacijom nad i poniženjem druge osobe",0.027,0.097,0.067,0.019,0.087,0.076,0.089,0.120,0.033,0.042,0.048,0.079,0.043,0.038,0.054,0.021
'1475170574636883981,"Sto se tice #NisamPrijavila, mogu samo da se zahvalim Bogu sto se nikad nisam nasla u takvoj situaciji, neizmjerna podrska i ljubav za sve koji su prosli kroz taj pako",0.019,0.109,0.052,0.017,0.138,0.042,0.094,0.004,0.022,0.009,0.027,0.078,0.064,0.041,0.002,0.039
'1475170441685880837,"#Nisamprijavila je najtužniji, najhrabriji i najvažniji hashtag ove godine na izmaku, jer svaka priča iza njega svjedoči u kakvom poremećenom svijetu živimo, koliko bola se krije iza nekih osmijeha i koliko jeze iza sebe kriju mnogi zidovi.",0.008,0.146,0.001,0.032,0.051,0.043,0.128,0.026,0.054,0.031,0.055,0.061,0.028,0.029,0.020,0.012
'1475170417165930499,"To su ti neki ljudi, koji znaju kako da poštuju druge. Pacifisti.
Dosta ljudi govori da je prije bilo ""normalno"" da se supruga udari! Nije tako! Nikad nije! Evo lekcije vama, kojima su posvećene #NisamPrijavila priče! Učite!",0.036,0.125,0.019,0.039,0.046,0.016,0.040,0.152,0.061,0.002,0.004,0.045,0.005,0.006,0.030,0.005
'1475170409171537921,"Iduci put kad pomislite da su zene paranoicne, procitajte par stvari sa #NisamPrijavila pomnozite to sa milion, dodajte poslovnu diskriminaciju na osnovu pola, i pomjesajte to sve sa pritiscima drustva na zene da radjaju i odgajaju djecu skoro same jer je to ""zenski"" posao⬇️ https://t.co/h68VW0VJ9N",0.062,0.093,0.122,0.043,0.077,0.015,0.154,0.033,0.056,0.000,0.019,0.101,0.020,0.047,0.087,0.068
'1475170141272948741,"#nisamprijavila Bio je i jedan tragikomični slučaj, mada to tada nije delovalo bezazleno. Još dok smo išle u gimnaziju, sedele smo drugarica i ja uveče u parku i nismo ni primetile da ljudi polako odlaze. Desilo se da su baš u trenutku kad mi je ona bezveze prešla rukom preko",0.009,0.090,0.011,0.065,0.078,0.021,0.148,0.077,0.020,0.054,0.041,0.079,0.037,0.024,0.005,0.018
'1475169837873774596,"#nisamprijavila jer me je pitao da li bilo neumesne da je to rekao neki za kog sam bila zainteresovana
#nisamprijavila jer smo se ranije spandjavali ali sam mu tad rekla ne tri puta za jedno vece",0.040,0.105,0.010,0.015,0.163,0.027,0.148,0.014,0.065,0.027,0.009,0.065,0.068,0.065,0.017,0.010
'1475169829808230407,ja se stvarno divim svim ženama što su tvitovale #NisamPrijavila znači naklon do poda,0.008,0.083,0.101,0.033,0.095,0.010,0.033,0.032,0.053,0.030,0.026,0.084,0.059,0.016,0.012,0.063
'1475169795121291266,"#nisamprijavila nestvarno koliko  tvitova je danas objavljeno, nemam snage da sve pročitam, ovo je nažalost naša realnost i mora se ozbiljno posvetiti ovakvim stvarima i pokušati stati na kraj psihopatama.",0.042,0.095,0.032,0.046,0.093,0.011,0.041,0.096,0.057,0.048,0.005,0.023,0.009,0.004,0.050,0.042
'1475169779166199809,"Auuuu... 
Žene kakve su ovo priče 😢😢😢 
#Nisamprijavila ogromna podrška za sve žene ovog sveta! Prijavljujte, ne stidite se!!! https://t.co/PO8GpofVP5",0.050,0.131,0.058,0.019,0.052,0.034,0.066,0.076,0.060,0.020,0.028,0.041,0.030,0.036,0.069,0.073
